iter	Logloss
0	0.6831727739
1	0.6741419707
2	0.666211393
3	0.6575961083
4	0.6469503107
5	0.6386195004
6	0.6298891668
7	0.619308573
8	0.6107257685
9	0.6035948558
10	0.5952145699
11	0.5856598542
12	0.5790187768
13	0.5705259833
14	0.5634177998
15	0.5553790332
16	0.5485458109
17	0.5403951756
18	0.5348950871
19	0.5263635523
20	0.5203424664
21	0.5139105328
22	0.5058336717
23	0.500034934
24	0.4940321906
25	0.4870156151
26	0.4807600619
27	0.4752181732
28	0.468914053
29	0.4641483971
30	0.4570596457
31	0.4516872993
32	0.4469523607
33	0.4421970491
34	0.4352723752
35	0.4299888096
36	0.4245625812
37	0.4202071673
38	0.4153784826
39	0.4110932239
40	0.4055707478
41	0.4005305855
42	0.3945004319
43	0.3896252262
44	0.3858090702
45	0.3825298741
46	0.3775694154
47	0.372149269
48	0.368488224
49	0.3652492096
50	0.3615922791
51	0.3583113788
52	0.3543808521
53	0.3513766226
54	0.3468054399
55	0.3426122351
56	0.3398808292
57	0.3365794611
58	0.332412989
59	0.3290123797
60	0.3259838961
61	0.3213465467
62	0.3174940278
63	0.3145706644
64	0.3110221864
65	0.3079659156
66	0.3043783672
67	0.3011255377
68	0.2986303733
69	0.2942746822
70	0.2911946982
71	0.2895180915
72	0.2867213449
73	0.2839071525
74	0.2813301851
75	0.2780683222
76	0.2758885385
77	0.2740095928
78	0.271787985
79	0.2686853691
80	0.2664182938
81	0.2634682096
82	0.2605575978
83	0.258162086
84	0.256333469
85	0.2543388686
86	0.2511287192
87	0.2488235396
88	0.2465346435
89	0.2437365697
90	0.2416892762
91	0.238532789
92	0.2361277488
93	0.2340012797
94	0.2317743089
95	0.2300296518
96	0.2282706848
97	0.2266852457
98	0.2251457683
99	0.2233011078
100	0.2208226748
101	0.2182411524
102	0.2167982221
103	0.2147127612
104	0.2124307279
105	0.2100753398
106	0.2086880545
107	0.2072715374
108	0.2061555571
109	0.2032803705
110	0.2020734124
111	0.1998928024
112	0.1992797402
113	0.1980960799
114	0.1968960866
115	0.1948252544
116	0.1931191572
117	0.1909579856
118	0.1892715846
119	0.1873918838
120	0.1862212566
121	0.1852628407
122	0.1838038001
123	0.1817657264
124	0.1803500971
125	0.178692247
126	0.1778555335
127	0.1762203003
128	0.1751944654
129	0.1734938237
130	0.1724265213
131	0.1708766213
132	0.1694773541
133	0.167670672
134	0.1666157268
135	0.1651462259
136	0.1636946158
137	0.1627773907
138	0.1613747354
139	0.1602849083
140	0.1589167626
141	0.1573042818
142	0.1559201864
143	0.15458175
144	0.1536408408
145	0.1523569734
146	0.1507378778
147	0.1498119235
148	0.1485018798
149	0.1474640003
150	0.1466175098
151	0.1458405962
152	0.1444364072
153	0.1436444435
154	0.1424352187
155	0.1417566394
156	0.1403922332
157	0.1394983188
158	0.1389407184
159	0.1377343036
160	0.136924658
161	0.1357225057
162	0.1346686379
163	0.1338257129
164	0.1330275928
165	0.1322110778
166	0.1313591913
167	0.1303023023
168	0.1294396406
169	0.1289248758
170	0.1283105864
171	0.1277715455
172	0.1268252481
173	0.1260847881
174	0.1254326321
175	0.1244193931
176	0.1234556045
177	0.1223459476
178	0.1218598077
179	0.1210748398
180	0.1202142372
181	0.119700359
182	0.1189845048
183	0.1185844629
184	0.1175720603
185	0.1164078154
186	0.1155391043
187	0.1145290398
188	0.1139300014
189	0.1135659062
190	0.112734285
191	0.1122501069
192	0.1115111896
193	0.1107243933
194	0.1101093688
195	0.1095147586
196	0.1085104353
197	0.1077293175
198	0.1069909058
199	0.1064065364
200	0.1058846147
201	0.1054214113
202	0.1045800538
203	0.1039138791
204	0.1036060939
205	0.1029681991
206	0.1024383956
207	0.1019010999
208	0.1013353251
209	0.1008583043
210	0.0999755334
211	0.09945609955
212	0.09883691455
213	0.09822920422
214	0.09766206164
215	0.09715233269
216	0.09668434144
217	0.09604558591
218	0.09569940654
219	0.09530577193
220	0.09501120576
221	0.09452931445
222	0.0939255201
223	0.09341591156
224	0.09309293321
225	0.09268216649
226	0.09229699559
227	0.09196591961
228	0.0915458497
229	0.09130677021
230	0.0908379954
231	0.09040813733
232	0.09002765729
233	0.08946345096
234	0.08902361155
235	0.08850881219
236	0.08818283531
237	0.08781484319
238	0.08743739145
239	0.08702013512
240	0.08654124809
241	0.08616821553
242	0.08588904417
243	0.08553174676
244	0.08534258381
245	0.08489994388
246	0.08425079054
247	0.08348964901
248	0.0830647319
249	0.08258897416
250	0.08228980947
251	0.08196361291
252	0.08159251636
253	0.0813677463
254	0.08110130748
255	0.08070740056
256	0.08036168234
257	0.08016537669
258	0.07981242321
259	0.07946038636
260	0.07913418195
261	0.078852412
262	0.07839592677
263	0.07806514292
264	0.0776012808
265	0.0772589327
266	0.07695429183
267	0.07645500461
268	0.07615885173
269	0.07597742373
270	0.07565134133
271	0.07543219612
272	0.07514926129
273	0.07481845782
274	0.07466574966
275	0.07428049547
276	0.07402529619
277	0.07386909637
278	0.07355768343
279	0.0732229753
280	0.07277143172
281	0.07233726192
282	0.07202088171
283	0.07188529585
284	0.07160301655
285	0.07124336012
286	0.07096217658
287	0.07071656792
288	0.07041822429
289	0.07020685712
290	0.06996401203
291	0.06962392176
292	0.06935025864
