iter	Passed	Remaining
0	8	8890
1	11	5531
2	13	4323
3	14	3663
4	16	3302
5	18	3008
6	20	2868
7	23	2882
8	25	2834
9	26	2669
10	28	2583
11	30	2476
12	32	2440
13	34	2411
14	36	2384
15	39	2443
16	42	2461
17	46	2511
18	47	2465
19	49	2411
20	50	2370
21	52	2342
22	54	2323
23	56	2312
24	58	2278
25	60	2260
26	62	2237
27	63	2214
28	65	2204
29	67	2175
30	69	2173
31	71	2164
32	73	2166
33	75	2155
34	77	2140
35	79	2120
36	80	2104
37	82	2089
38	84	2077
39	86	2073
40	88	2065
41	89	2051
42	91	2032
43	92	2014
44	94	1998
45	95	1982
46	97	1966
47	98	1952
48	101	1960
49	102	1951
50	105	1957
51	107	1953
52	108	1940
53	110	1930
54	111	1918
55	113	1907
56	114	1893
57	116	1888
58	118	1887
59	121	1896
60	122	1892
61	124	1882
62	125	1871
63	127	1864
64	128	1852
65	130	1842
66	131	1835
67	133	1835
68	135	1834
69	137	1828
70	139	1819
71	140	1814
72	142	1807
73	143	1797
74	145	1790
75	146	1782
76	148	1775
77	149	1771
78	151	1769
79	153	1764
80	155	1760
81	156	1756
82	158	1750
83	160	1746
84	161	1743
85	164	1746
86	166	1743
87	167	1740
88	169	1735
89	170	1728
90	172	1725
91	174	1717
92	175	1711
93	177	1706
94	178	1700
95	180	1695
96	181	1691
97	183	1687
98	185	1686
99	186	1679
100	187	1672
101	189	1667
102	190	1660
103	192	1655
104	193	1651
105	195	1648
106	197	1646
107	199	1644
108	200	1640
109	202	1634
110	203	1630
111	205	1626
112	206	1621
113	208	1616
114	209	1612
115	210	1607
116	213	1609
117	215	1609
118	216	1604
119	218	1600
120	219	1594
121	220	1590
122	222	1584
123	223	1579
124	225	1576
125	226	1574
126	229	1575
127	231	1576
128	233	1573
129	234	1570
130	236	1568
131	238	1566
132	239	1563
133	241	1560
134	243	1558
135	245	1557
136	247	1559
137	249	1559
138	251	1556
139	253	1555
140	254	1553
141	257	1552
142	259	1552
143	261	1552
144	263	1553
145	265	1550
146	266	1547
147	268	1545
148	272	1556
149	275	1560
150	279	1572
151	282	1574
152	284	1575
153	287	1578
154	289	1579
155	291	1579
156	294	1580
157	296	1577
158	297	1575
159	299	1574
160	301	1571
161	303	1568
162	306	1571
163	308	1571
164	310	1573
165	313	1574
166	315	1572
167	317	1570
168	318	1567
169	320	1564
170	322	1562
171	324	1563
172	326	1562
173	328	1559
174	329	1555
175	331	1551
176	332	1546
177	334	1542
178	335	1538
179	337	1535
180	339	1534
181	340	1531
182	342	1529
183	344	1526
184	346	1524
185	347	1522
186	349	1519
187	351	1517
188	352	1514
189	354	1511
190	356	1509
191	358	1510
192	360	1507
193	361	1503
194	363	1499
195	364	1496
196	366	1493
197	367	1490
198	369	1487
199	371	1487
200	374	1486
201	375	1483
202	376	1479
203	378	1475
204	379	1472
205	381	1469
206	382	1466
207	384	1464
208	386	1462
209	388	1462
210	390	1460
211	391	1457
212	393	1453
213	394	1450
214	396	1446
215	397	1444
216	399	1441
217	401	1438
218	402	1436
219	404	1435
220	406	1432
221	407	1429
222	409	1425
223	411	1423
224	412	1421
225	413	1417
226	415	1414
227	416	1411
228	419	1410
229	420	1408
230	422	1406
231	423	1403
232	425	1400
233	426	1397
234	428	1394
235	429	1391
236	431	1388
237	432	1386
238	434	1384
239	436	1382
240	438	1379
241	439	1377
242	441	1375
243	443	1372
244	444	1371
245	446	1369
246	448	1365
247	449	1363
248	451	1361
249	453	1359
250	454	1356
251	456	1354
252	457	1351
253	459	1349
254	460	1346
255	462	1343
256	463	1339
257	464	1337
258	466	1334
259	468	1333
260	470	1332
261	472	1329
262	473	1327
263	474	1324
264	476	1320
265	477	1318
266	479	1316
267	481	1314
268	482	1312
269	484	1310
270	486	1308
271	487	1305
272	489	1302
273	490	1299
274	492	1297
275	494	1295
276	495	1292
277	497	1291
278	499	1290
279	501	1288
280	502	1285
281	503	1283
282	505	1280
283	508	1281
284	511	1283
285	514	1285
286	519	1289
287	521	1289
288	523	1288
289	525	1285
290	526	1282
291	528	1280
292	530	1279
293	532	1278
294	533	1276
295	535	1273
296	537	1271
297	539	1270
298	541	1268
299	542	1266
300	544	1264
301	546	1262
302	547	1258
303	548	1256
304	550	1254
305	552	1252
306	553	1249
307	555	1247
308	556	1245
309	558	1242
310	560	1241
311	562	1239
312	564	1237
313	565	1235
314	567	1233
315	569	1231
316	570	1229
317	572	1228
318	575	1227
319	577	1226
320	579	1226
321	581	1224
322	583	1223
323	585	1220
324	586	1218
325	588	1216
326	590	1214
327	592	1213
328	595	1214
329	597	1213
330	599	1211
331	601	1209
332	602	1207
333	604	1205
334	606	1203
335	608	1201
336	610	1200
337	612	1199
338	614	1197
339	616	1196
340	618	1194
341	619	1192
342	621	1190
343	623	1189
344	625	1187
345	627	1185
346	629	1184
347	631	1183
348	633	1181
349	634	1179
350	636	1176
351	638	1174
352	639	1172
353	641	1171
354	643	1169
355	645	1168
356	647	1165
357	648	1163
358	650	1161
359	652	1160
360	654	1158
361	656	1156
362	657	1154
363	659	1152
364	661	1150
365	663	1149
366	666	1148
367	667	1146
368	669	1144
369	670	1142
370	672	1140
371	674	1138
372	676	1136
373	678	1134
374	679	1133
375	681	1131
376	683	1129
377	685	1128
378	688	1127
379	689	1125
380	691	1123
381	693	1121
382	694	1119
383	696	1117
384	697	1114
385	699	1112
386	701	1110
387	703	1108
388	704	1107
389	706	1105
390	707	1102
391	709	1100
392	710	1097
393	713	1097
394	714	1094
395	717	1094
396	718	1092
397	720	1089
398	722	1087
399	723	1085
400	725	1083
401	726	1081
402	728	1079
403	730	1077
404	732	1075
405	734	1074
406	735	1072
407	737	1070
408	738	1067
409	740	1065
410	741	1063
411	743	1060
412	746	1061
413	750	1061
414	753	1062
415	757	1062
416	759	1061
417	761	1060
418	762	1057
419	764	1055
420	766	1053
421	767	1051
422	769	1049
423	771	1047
424	772	1045
425	773	1042
426	775	1040
427	776	1038
428	778	1036
429	779	1033
430	782	1032
431	783	1030
432	785	1028
433	787	1026
434	788	1024
435	790	1021
436	791	1019
437	793	1017
438	794	1015
439	796	1013
440	797	1011
441	799	1009
442	801	1007
443	802	1005
444	803	1002
445	805	1000
446	806	998
447	808	995
448	809	993
449	811	991
450	813	989
451	815	988
452	817	986
453	818	984
454	820	982
455	822	981
456	824	979
457	825	977
458	827	974
459	828	972
460	830	971
461	832	968
462	833	966
463	834	964
464	836	962
465	837	960
466	839	957
467	840	955
468	842	953
469	843	951
470	845	949
471	847	948
472	849	946
473	850	944
474	852	941
475	853	939
476	855	937
477	856	935
478	858	933
479	859	931
480	861	929
481	863	927
482	864	925
483	866	923
484	867	921
485	870	920
486	871	918
487	873	916
488	875	915
489	878	913
490	879	912
491	881	910
492	883	908
493	884	906
494	886	904
495	888	902
496	889	900
497	891	899
498	893	897
499	895	895
500	897	893
501	898	891
502	900	889
503	901	887
504	902	885
505	904	883
506	905	880
507	907	879
508	909	877
509	911	875
510	913	873
511	915	872
512	916	870
513	918	868
514	920	866
515	921	864
516	923	862
517	925	861
518	926	859
519	928	857
520	929	854
521	931	852
522	933	850
523	934	848
524	936	846
525	937	845
526	939	843
527	941	841
528	942	839
529	944	837
530	945	835
531	947	833
532	948	831
533	950	829
534	951	827
535	953	825
536	954	823
537	956	821
538	958	819
539	959	817
540	961	815
541	962	813
542	964	811
543	965	809
544	967	807
545	968	805
546	970	803
547	972	802
548	975	801
549	977	799
550	978	797
551	980	795
552	981	793
553	985	793
554	991	794
555	994	793
556	996	792
557	998	790
558	999	788
559	1001	786
560	1003	784
561	1004	783
562	1006	781
563	1008	779
564	1010	777
565	1012	776
566	1013	774
567	1015	772
568	1016	770
569	1018	768
570	1020	766
571	1021	764
572	1023	762
573	1024	760
574	1026	758
575	1027	756
576	1028	754
577	1030	752
578	1031	750
579	1033	748
580	1035	746
581	1037	745
582	1038	743
583	1040	741
584	1041	739
585	1043	737
586	1044	735
587	1046	732
588	1047	731
589	1049	729
590	1051	727
591	1052	725
592	1054	723
593	1055	721
594	1057	719
595	1058	717
596	1060	715
597	1061	713
598	1062	711
599	1064	709
600	1066	707
601	1068	706
602	1070	705
603	1072	703
604	1073	701
605	1075	699
606	1076	697
607	1078	695
608	1079	693
609	1082	691
610	1084	690
611	1085	688
612	1087	686
613	1089	684
614	1090	682
615	1091	680
616	1093	678
617	1094	676
618	1096	674
619	1098	672
620	1100	671
621	1102	669
622	1103	668
623	1105	666
624	1107	664
625	1109	662
626	1110	660
627	1112	659
628	1114	657
629	1116	655
630	1117	653
631	1119	651
632	1120	649
633	1122	647
634	1123	645
635	1125	643
636	1126	642
637	1128	640
638	1129	638
639	1131	636
640	1133	634
641	1134	632
642	1136	630
643	1137	628
644	1139	627
645	1140	625
646	1142	623
647	1143	621
648	1145	619
649	1146	617
650	1148	615
651	1150	613
652	1151	612
653	1153	610
654	1154	608
655	1156	606
656	1157	604
657	1159	602
658	1160	600
659	1163	599
660	1165	597
661	1166	595
662	1168	593
663	1170	592
664	1171	590
665	1173	588
666	1174	586
667	1175	584
668	1177	582
669	1179	580
670	1180	578
671	1182	577
672	1184	575
673	1185	573
674	1187	571
675	1188	569
676	1190	567
677	1191	566
678	1193	564
679	1195	562
680	1197	560
681	1198	558
682	1200	557
683	1202	555
684	1203	553
685	1205	551
686	1206	549
687	1208	548
688	1210	546
689	1211	544
690	1213	542
691	1215	540
692	1216	538
693	1218	537
694	1219	535
695	1221	533
696	1223	531
697	1227	531
698	1229	529
699	1233	528
700	1235	526
701	1237	525
702	1239	523
703	1241	521
704	1242	520
705	1244	518
706	1246	516
707	1247	514
708	1249	512
709	1250	510
710	1252	508
711	1253	507
712	1255	505
713	1257	503
714	1260	502
715	1262	500
716	1264	499
717	1265	497
718	1267	495
719	1268	493
720	1269	491
721	1271	489
722	1274	488
723	1276	486
724	1278	484
725	1280	483
726	1281	481
727	1283	479
728	1285	477
729	1286	475
730	1288	474
731	1290	472
732	1292	470
733	1294	469
734	1295	467
735	1297	465
736	1299	463
737	1301	461
738	1303	460
739	1306	458
740	1308	457
741	1309	455
742	1311	453
743	1313	451
744	1314	450
745	1316	448
746	1318	446
747	1320	444
748	1322	443
749	1324	441
750	1325	439
751	1327	437
752	1329	435
753	1330	434
754	1332	432
755	1334	430
756	1336	428
757	1338	427
758	1339	425
759	1341	423
760	1343	421
761	1345	420
762	1347	418
763	1348	416
764	1350	414
765	1353	413
766	1355	411
767	1357	410
768	1358	408
769	1360	406
770	1362	404
771	1364	402
772	1365	401
773	1367	399
774	1368	397
775	1370	395
776	1372	393
777	1373	392
778	1375	390
779	1377	388
780	1378	386
781	1380	384
782	1382	383
783	1383	381
784	1385	379
785	1387	377
786	1389	375
787	1391	374
788	1393	372
789	1394	370
790	1396	368
791	1398	367
792	1400	365
793	1402	363
794	1403	361
795	1405	360
796	1406	358
797	1407	356
798	1409	354
799	1410	352
800	1412	350
801	1414	349
802	1416	347
803	1417	345
804	1418	343
805	1421	342
806	1422	340
807	1423	338
808	1425	336
809	1426	334
810	1427	332
811	1429	331
812	1431	329
813	1433	327
814	1434	325
815	1436	323
816	1437	322
817	1439	320
818	1440	318
819	1441	316
820	1443	314
821	1444	312
822	1447	311
823	1448	309
824	1450	307
825	1451	305
826	1453	304
827	1454	302
828	1456	300
829	1458	298
830	1460	297
831	1463	295
832	1467	294
833	1469	292
834	1471	290
835	1474	289
836	1476	287
837	1479	286
838	1483	284
839	1487	283
840	1488	281
841	1491	279
842	1494	278
843	1496	276
844	1497	274
845	1499	272
846	1500	271
847	1502	269
848	1503	267
849	1505	265
850	1506	263
851	1508	262
852	1510	260
853	1511	258
854	1513	256
855	1515	254
856	1516	253
857	1518	251
858	1519	249
859	1521	247
860	1522	245
861	1523	243
862	1525	242
863	1526	240
864	1528	238
865	1530	236
866	1531	234
867	1533	233
868	1534	231
869	1536	229
870	1537	227
871	1539	225
872	1541	224
873	1543	222
874	1545	220
875	1546	218
876	1548	217
877	1550	215
878	1551	213
879	1553	211
880	1554	210
881	1556	208
882	1558	206
883	1559	204
884	1561	202
885	1562	201
886	1564	199
887	1565	197
888	1567	195
889	1568	193
890	1569	192
891	1571	190
892	1574	188
893	1576	186
894	1577	185
895	1579	183
896	1581	181
897	1582	179
898	1584	177
899	1585	176
900	1587	174
901	1589	172
902	1590	170
903	1592	169
904	1594	167
905	1595	165
906	1597	163
907	1598	162
908	1600	160
909	1601	158
910	1603	156
911	1605	154
912	1606	153
913	1608	151
914	1610	149
915	1611	147
916	1613	146
917	1614	144
918	1615	142
919	1617	140
920	1619	138
921	1620	137
922	1622	135
923	1624	133
924	1625	131
925	1627	130
926	1628	128
927	1629	126
928	1631	124
929	1632	122
930	1634	121
931	1636	119
932	1638	117
933	1640	115
934	1641	114
935	1643	112
936	1644	110
937	1646	108
938	1647	107
939	1648	105
940	1650	103
941	1651	101
942	1653	99
943	1655	98
944	1657	96
945	1659	94
946	1660	92
947	1662	91
948	1663	89
949	1665	87
950	1666	85
951	1668	84
952	1670	82
953	1672	80
954	1674	78
955	1675	77
956	1677	75
957	1679	73
958	1680	71
959	1682	70
960	1683	68
961	1685	66
962	1687	64
963	1689	63
964	1690	61
965	1691	59
966	1693	57
967	1694	56
968	1697	54
969	1700	52
970	1703	50
971	1706	49
972	1709	47
973	1711	45
974	1712	43
975	1714	42
976	1715	40
977	1717	38
978	1719	36
979	1721	35
980	1722	33
981	1724	31
982	1725	29
983	1726	28
984	1728	26
985	1730	24
986	1732	22
987	1733	21
988	1735	19
989	1737	17
990	1738	15
991	1740	14
992	1741	12
993	1742	10
994	1744	8
995	1745	7
996	1747	5
997	1749	3
998	1751	1
999	1752	0
