CODE,NAME,STOCK EXCHANGE,YEAR,TARGET,EBIT,EBITDA,TOTAL EQUITY/TOTAL ASSETS,EPS,CASH/TOTAL CURRENT ASSETS,TOTAL CURRENT ASSET/TOTAL ASSET,LONG-TERM ASSETS/TOTAL ASSETS,QUICK RATIO,Market Value of Total Equity / Book Values of Total Liabilities,Sales/Total Assets,EBIT/Total Assets,Retain Earnings/Total Assets,Working Capitals/Total Asset,ROIC,YEAR.1,NET INCOME/TOTAL ASSET
AAA,CTCP Nhựa An Phát Xanh,1,2019,1.0,0.14282984898375173,0.15339493648585178,-0.06944461259312773,-0.0920036906757695,-0.46671436900011637,-0.5761357116158882,-0.2886235584974033,-0.22942707520115813,-0.27692768154372394,-0.07370950374037352,-0.05043832213718217,-0.08362321040076556,-0.07529674463683177,0.0751734794574678,17.0,0.07845637056134877
AAM,CTCP Thủy sản MeKong,1,2019,0.0,-0.18750066272622667,-0.20843149353185222,-0.06945837101092805,-0.10278874989226254,-0.46671862708547923,-0.5815999292057548,-0.27236428105299115,0.5781472295690294,0.4021892132903805,-0.15568683176449635,-0.09790319731872905,-0.11168365629444618,-0.1473129691017554,-0.42191679895459794,17.0,-0.2071695861103483
AAV,CTCP AAV Group,0,2019,1.0,-0.17398142103713812,-0.19639998089202163,-0.0694052009049358,-0.09466455276620211,-0.4667129424981964,-0.583154596465314,-0.2629956238564102,-0.21712898934171365,-0.204175453045345,-0.11243988345691434,-0.07507676700394615,-0.09882302156139812,-0.07809415404548514,-0.036608320798737784,9.0,-0.029983329815206176
ABT,CTCP Xuất nhập khẩu Thủy sản Bến Tre,1,2019,0.0,-0.169322354679481,-0.19254159168069776,-0.06930734014906909,-0.07462045273357075,-0.4667152087806076,-0.5842533879271311,-0.2533172468566166,-0.2622219708263434,-0.031055643036171088,-0.14643649350461274,-0.08594658645512408,-0.09886124344482083,-0.13663483020730385,0.18526161607342773,16.0,0.5216894637075667
ACC,CTCP Đầu tư và Xây dựng Bình Dương ACC,1,2019,1.0,-0.16769799832249227,-0.1903006420219327,-0.06939355128435504,-0.10184580815276573,-0.46671798163616834,-0.5796586599639738,-0.28010834979762905,-0.12079398344273187,-0.24913258700843155,-0.15790734679906807,-0.09746172547111749,-0.11116931637769004,-0.16136624981472675,0.3266825300339302,11.0,0.4507596441481122
ACL,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,1,2019,1.0,-0.11044180044154141,-0.1304338838360987,-0.06949798779244076,-0.07909088107587949,-0.466699952746676,-0.5863988778541281,-0.21739874637724085,-0.32371240012356584,-0.2591167632636846,-0.09732207595166284,-0.04310808458826602,-0.025449318534297855,-0.09029813912209621,0.49520206223836133,12.0,0.61024208189873
ADC,CTCP Mỹ thuật và Truyền thông,0,2019,0.0,-0.18580049772694962,-0.20801897585373802,-0.06941762067154662,-0.09295354662558637,-0.46670421865335354,-0.5534400755952552,-0.304141453607934,-0.22737739422458406,-0.258001875623351,0.05837440937026008,-0.045856910453235804,-0.03911342003453469,-0.08421337082528682,0.6357761443787412,12.0,0.4592141783618363
ADP,CTCP Sơn Á Đông,1,2019,0.0,-0.1702316004788641,-0.19017647217512193,-0.06934831865451305,-0.09601054078463854,-0.46671799865246216,-0.584539374521698,-0.2501595267992904,-0.003962167778009335,0.03540348738643714,-0.14216583201505342,-0.08820064897953507,-0.10193284445058634,-0.1397136950853476,0.7915931992813308,19.0,1.209831132640573
ADS,CTCP Damsan,1,2019,1.0,-0.17069706787853273,-0.17556315683868784,-0.0694966328329635,-0.10704438111585496,-0.46671343917619823,-0.5845449464442947,-0.25009471682098294,-0.2888678235218064,-0.2960913613216904,-0.08694131835052975,-0.08507828206552984,-0.10370919120802485,-0.13135688275499363,-0.41514214439361574,13.0,-0.6397119463720373
AGM,CTCP Xuất Nhập khẩu An Giang,1,2019,0.0,-0.16828883270885212,-0.18707506612432492,-0.06937630484831228,-0.09301766614204496,-0.4666973187047299,-0.5857751685934716,-0.2316007422695752,-0.22737739422458406,-0.2681157702421898,0.0441379637251373,-0.06387858651520162,0.004438741286010765,-0.02238289125262978,-0.03152732987800112,12.0,0.004512115902435174
ALT,CTCP Văn hóa Tân Bình,0,2019,1.0,-0.18739520160583087,-0.20550850102971768,-0.06951588214411773,-0.09544716310035284,-0.46671770654908024,-0.5874814958602502,-0.17605212618921542,0.1887078440199543,-0.1331573888398021,-0.15810205765622135,-0.09852542974457154,-0.11247265643115915,-0.1605181997311009,-0.3838093670490732,30.0,-0.23749679288715256
AMC,CTCP Khoáng sản Á Châu,0,2019,0.0,-0.18734135759748474,-0.20762420060498035,-0.06938893998226073,-0.0852014122888238,-0.46671930478080775,0.004777582567277265,-0.31303894128907217,-0.276569737662362,-0.21389019783584565,-0.04820262385759589,-0.044216193843219134,-0.0344084357449123,-0.15176957437776573,0.49774255769872977,12.0,0.6270645883502396
AME,CTCP Alphanam E&C,0,2019,1.0,-0.17270365097910956,-0.19668027481532024,-0.06947517536691503,-0.09713090377008386,-0.46671892743679877,-0.569342412533256,-0.29684386097306126,-0.30936463328754726,-0.2993561977054185,-0.09249610701140194,-0.07926396124779089,-0.09715529599969625,-0.0794243940471254,-0.17718240293911752,24.0,-0.46944753709706233
