STOCK EXCHANGE,EBIT,EBITDA,TOTAL EQUITY/TOTAL ASSETS,EPS,CASH/TOTAL CURRENT ASSETS,TOTAL CURRENT ASSET/TOTAL ASSET,LONG-TERM ASSETS/TOTAL ASSETS,QUICK RATIO,Market Value of Total Equity / Book Values of Total Liabilities,Sales/Total Assets,EBIT/Total Assets,Retain Earnings/Total Assets,Working Capitals/Total Asset,ROIC,TARGET,probabilities
1,567110018.0,834111528.0,51.32,224.74,42.81,49.31,50.69,1.32,0.643400435623064,1.09478866293402,4.91643854231489e-05,5.88012701145733e-05,0.000168310057395314,4.88,0,0.7309967
1,45702660.0,71930976.0,71.08,31.86,4.54,44.51,55.49,2.74,1.13948327578941,0.569334075721875,4.33959239638917e-05,3.85874863145592e-05,0.000292326330780203,3.72,0,0.7309967
0,-11787090.0,-1316777.0,84.95,-241.5,0.07,72.87,27.13,7.58,2.04662407749955,0.0792183763086506,-1.28346842399777e-05,-1.29105669480931e-05,0.000633516763353667,-1.23,0,0.7309967
1,40973458.0,48822524.0,81.9,2258.59,1.93,45.28,54.72,3.33,3.94736612870946,0.183833916134344,0.000106430551733464,0.000299527600841529,0.000316811193624913,10.04,0,0.7309967
1,111699830.0,112670239.0,58.16,359.12,0.19,57.37,42.63,1.37,0.695106092394054,0.643743604454473,7.01370191145425e-05,5.25314282231026e-05,0.000155853122043134,4.37,0,0.7309967
1,79303966.0,90681945.0,75.35,5466.25,3.28,51.83,48.17,1.56,2.56720961220647,0.817939463960788,0.000121746798421018,0.00023863371538077,0.000276537657759218,12.5,0,0.7309967
1,130757812.0,134445342.0,54.59,675.11,1.11,74.5,25.5,0.87,1.21414053335244,0.277027448579788,5.55924411921623e-05,9.67076716328179e-05,0.000380400255762585,5.34,0,0.7309967
1,578984295.0,683114787.0,75.58,2964.92,1.62,74.83,25.17,2.25,4.2042940853664,0.684291776845423,0.00010484879343305,0.000225808609950364,0.000506834748793888,9.75,0,0.7309967
1,58697808.0,93274457.0,45.75,285.24,4.79,84.68,15.32,0.41,0.62562018901502,0.638272992448518,3.35159900332144e-05,0.000162250160020528,0.000304338378484786,3.46,0,0.7309967
0,18442028.0,20463835.0,48.34,3705.59,29.94,81.4,18.6,1.07,0.882434420596031,2.67409222442181,0.000114246073203171,0.000236941727805114,0.000297344765303503,19.25,0,0.7309967
1,35562072.0,37524254.0,77.03,1109.69,9.96,72.29,27.71,3.22,4.43289358747058,0.912028276233611,7.87886147233136e-05,0.000235664322948754,0.000499666140547698,6.53,0,0.7309967
1,73967075.0,82224163.0,75.34,79076.0,5.48,88.79,11.21,2.28,4.66286800185049,1.36381507108658,0.000194317150784578,0.000148091630861776,0.000641296358355117,21.09,0,0.7309967
1,157098501.0,159033675.0,36.72,993.48,7.76,77.25,22.75,0.97,0.480357205958177,0.647637312653783,6.19518173935731e-05,4.03301748287952e-05,8.58827756182899e-05,8.88,0,0.7309967
1,700854499.0,707444423.0,30.95,1401.54,9.38,88.59,11.41,1.18,0.516673495708893,0.41868935539366,7.54142341919394e-05,0.000147240333158791,0.000317273046914041,6.07,0,0.7309967
1,-102369055.0,-71764393.0,2.3,-11415.34,1.74,33.56,66.44,0.4,0.0928937820388352,0.626315764591923,-8.12850426284847e-05,-0.000121496613062128,-0.000453162963182804,-7.4,0,0.7309967
0,12270588.0,26052013.0,66.6,1848.54,5.09,57.05,42.95,1.36,0.690146177222158,0.918371953203581,3.67906660846327e-05,0.000103197307640275,0.000239100657726793,4.06,0,0.7309967
0,8394987.0,14074566.0,65.35,-134714.0,15.06,53.09,46.91,1.2,1.79536162326828,1.87479515095419,0.00010716737264054,0.0002896566742692,0.000220007578193879,10.67,0,0.7309967
0,90368057.0,94483426.0,31.28,198.96,0.43,96.96,3.04,1.02,0.320530256824619,0.880524217522197,3.59186745869669e-05,5.36950613826846e-05,0.000282415554813863,4.51,0,0.7309967
0,33713600.0,55417376.0,85.65,98.75,2.46,80.19,19.81,8.19,1.80656116748366,0.0994046193101874,1.70888060672893e-05,0.000155605317608519,0.000723325021572024,1.73,0,0.7309967
1,204914604.0,319449207.0,55.78,-270612.0,1.35,57.58,42.42,0.29,1.83196269329105,0.873055102212947,4.00964278883301e-05,0.00029766389951482,0.000165206899588319,2.65,0,0.7309967
1,-3103542.0,45996073.0,66.33,-1788.95,5.03,14.48,85.52,1.12,0.624037026139922,0.132412917816555,-3.4852678127791e-06,0.000303377704619127,1.66668686639987e-05,-0.42,0,0.7309967
1,601574818.0,976154115.0,46.12,146.79,38.59,52.67,47.33,1.17,0.282066167512647,1.17926400706181,4.88147889951667e-05,-5.96979777417849e-06,0.000147591909198074,2.3,0,0.7309967
0,18413192.0,23734196.0,40.92,331.59,3.51,74.07,25.93,0.74,0.353771842959811,0.0860146196342432,8.02949345103554e-06,3.17840924321208e-05,0.000259237501887372,0.57,0,0.7309967
1,117299292.0,239951756.0,60.66,42.5,9.55,56.89,43.11,2.55,1.35264568496883,0.629745701055262,3.84668791191686e-05,0.000104480477383955,0.000349696619947578,1.4,0,0.7309967
1,1060109178.0,1414069386.0,38.58,701.6,12.3,54.63,45.37,0.83,0.280747038796456,0.590050750821007,5.21836322885665e-05,9.0466714123182e-05,0.000158984390352294,4.68,0,0.7309967
1,56632618.0,88957002.0,21.14,733.4,16.51,59.56,40.44,0.79,0.0999999239185141,1.67268188424185,2.49172585945801e-05,3.29642758256374e-05,-0.000105098228074864,1.17,0,0.7309967
1,179471048.0,215235444.0,77.9,2292.31,19.69,68.06,31.94,2.55,13.6324471777717,1.45766896412277,0.000237893208763307,7.33896038170069e-05,0.000462566759699442,20.38,0,0.7309967
